Sottoarea,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
1,3.696093,2.845264,2.298765,2.211461,2.362665,2.516626,2.576818,2.562199,2.526496,2.504315
2,6.453488,4.209412,3.562813,4.655359,4.274754,4.155359,4.587996,4.155652,4.395151,4.39157
3,1.749039,0.7316493,1.055015,1.85505,1.179213,0.7469362,1.580534,1.595378,0.8092244,1.162431
4,5.94726,5.235588,4.950944,4.525222,4.555232,4.669086,4.57352,4.609151,4.612898,4.598645
5,10.60468,9.872195,7.424551,5.611206,5.254126,6.115085,7.092021,7.582609,7.394454,6.965099
6,1.037528,0.9363894,1.014364,0.7392188,0.360629,0.5006751,0.73823,0.8271806,0.9010464,0.892561
7,3.022794,3.048242,2.17336,1.228999,0.8599125,1.183459,1.819725,2.26699,2.267506,1.924844
8,7.245027,6.718918,5.010548,3.735523,3.57319,4.241696,5.005715,5.325895,5.146426,4.76194
9,5.402862,4.359497,3.421025,3.012323,3.255424,3.588936,3.82205,3.794219,3.69474,3.586874
10,6.029464,5.875398,4.503954,3.295687,2.989362,3.528079,4.300575,4.72092,4.611783,4.202687
11,7.122709,7.162085,5.632169,4.296051,3.867444,4.328631,5.072361,5.52838,5.504165,5.18079
12,4.869271,5.03661,3.604153,2.107161,1.500122,2.114376,3.331335,4.216013,4.195761,3.416094
13,12.47059,9.724057,7.45203,7.973823,8.066221,7.94511,7.849662,7.774438,7.715153,7.668431
14,2.391372,2.541377,2.361487,1.657321,1.537938,1.686452,1.920536,2.147046,2.177086,2.057224
15,2.527198,2.375523,2.01641,1.784072,1.748951,1.822235,1.898814,1.930287,1.922715,1.902513
16,7.311873,6.681893,5.698145,5.193894,5.190012,5.381331,5.528094,5.565823,5.53793,5.502215
17,0.9339419,0.6993393,0.6771177,0.895707,0.8018738,0.6576488,0.8153158,0.860779,0.6980297,0.7423698
18,6.022518,5.23363,4.20938,3.731518,3.77272,3.997078,4.154726,4.18684,4.14832,4.105478
19,3.841595,3.1717,2.448702,2.182042,2.320778,2.585805,2.749732,2.756772,2.676721,2.601408
21,7.632376,5.923516,4.042078,3.334683,3.77137,4.561706,5.018318,4.976972,4.681161,4.44101
22,5.605045,3.843618,3.302198,3.600265,3.676604,3.696155,3.701162,3.702445,3.702773,3.702857
23,9.078943,7.674151,4.810146,3.183838,3.508822,5.077113,6.477952,6.789429,6.078802,5.1018
24,9.224717,7.948843,4.93662,5.638538,5.548003,5.793194,5.830443,5.92525,5.964529,6.008129
25,6.949214,7.404147,5.840712,4.074477,3.259862,3.687724,4.716193,5.498507,5.5871,5.120267
26,7.976966,6.634948,5.051202,4.362898,4.537231,5.008637,5.320049,5.357182,5.240839,5.126048
27,6.555736,6.031239,4.665689,3.715713,3.624697,4.082457,4.552865,4.722325,4.609396,4.409629
28,11.96826,9.978086,7.822414,7.205931,7.579606,8.212278,8.47607,8.43665,8.262988,8.167329
29,13.97428,10.98367,7.595366,6.286692,7.161306,8.784867,9.757001,9.659396,8.967717,8.38362
30,5.490009,4.744779,3.977952,3.709896,3.82732,4.027727,4.130031,4.123684,4.076234,4.043066
31,9.107463,4.339906,5.01185,8.885512,6.594609,4.214517,7.264422,8.004676,5.012101,5.680641
32,0.4341964,0.3905864,0.3872251,0.386966,0.386946,0.3869445,0.3869444,0.3869444,0.3869444,0.3869444
33,1.949469,1.579313,1.293019,1.223708,1.297299,1.39068,1.434949,1.429059,1.403792,1.385372
34,3.217356,2.213377,2.142637,2.703891,2.338583,2.062423,2.406056,2.377646,2.128673,2.26211
35,7.40619,7.091381,6.262641,5.736213,5.660932,5.818268,5.973863,6.032218,6.014301,5.976067
36,5.313743,5.699006,5.118883,3.245122,2.461741,2.787548,3.725218,4.700551,4.957801,4.45473
37,12.67445,14.64168,15.96867,9.954166,5.985704,6.29562,8.671658,12.72897,15.23096,13.91764
38,3.576777,3.559186,2.960985,2.478094,2.351321,2.506697,2.7203,2.831288,2.814719,2.737505
39,7.429687,7.139764,5.60532,4.421546,4.199854,4.631273,5.124066,5.325752,5.24146,5.061621
40,9.458203,8.201474,6.367388,5.464111,5.655902,6.29246,6.734,6.776459,6.581279,6.392839
41,5.531751,6.725274,7.222102,4.477198,2.798552,2.819424,3.879582,5.762334,6.87199,6.311071
42,7.998468,7.066975,6.422742,6.243327,6.303436,6.396357,6.443472,6.4495,6.440195,6.432031
43,12.8426,12.76212,9.035157,5.510381,4.499195,6.382618,9.343433,11.09874,10.58074,8.517337
44,7.463425,7.197899,5.509878,4.100582,3.782264,4.312087,4.989526,5.307363,5.205464,4.924973
45,6.810531,6.50359,4.369887,2.389937,1.901585,2.931201,4.427203,5.23822,4.941954,3.985171
46,8.676696,6.029164,4.572766,4.575948,5.180084,5.637282,5.730304,5.61184,5.48294,5.435312
47,4.620676,4.752548,3.5742,2.301822,1.813572,2.218857,2.986264,3.492114,3.468361,3.082788
48,1.893969,1.230741,0.9864064,1.296482,1.27086,1.206784,1.273629,1.229637,1.251594,1.243648
49,2.415614,2.316917,2.13711,1.459175,1.02537,1.143225,1.457477,1.776669,1.944989,1.855896
50,12.1797,10.43611,7.657146,6.533613,6.78069,7.923733,8.607999,8.749345,8.340504,8.001018
52,6.69077,6.403386,5.532286,4.969896,4.870031,5.008834,5.154371,5.213472,5.203237,5.172641
53,5.770748,5.803609,5.098423,4.511396,4.325511,4.41699,4.568211,4.653371,4.660116,4.630402
