Sottoarea,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
1,1,2,2,2,1,1,1,1,1,1
2,3,2,2,2,2,2,3,2,2,2
3,0,0,0,0,0,0,0,0,0,0
4,2,1,1,1,2,2,2,2,2,2
5,2,3,3,3,3,3,3,3,3,3
6,0,0,0,0,0,0,0,0,0,0
7,3,1,1,1,2,3,3,2,2,2
8,2,2,2,2,2,2,2,2,2,2
9,1,1,1,1,1,1,1,1,1,1
10,2,2,2,2,2,2,2,2,2,2
11,1,1,1,1,1,1,1,1,1,1
12,2,1,1,1,1,1,1,2,1,1
13,6,3,2,3,5,5,6,5,3,3
14,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1
16,3,3,3,3,3,3,3,3,3,3
17,0,0,0,0,0,0,0,0,0,0
18,2,2,1,1,2,2,2,2,2,2
19,1,1,1,1,2,2,1,1,1,1
21,2,2,2,2,2,2,2,2,2,2
22,2,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2,2
24,2,2,2,2,2,2,2,2,2,2
25,1,1,2,2,3,2,2,2,2,2
26,2,2,2,2,2,2,2,2,2,2
27,2,2,2,2,2,2,2,2,2,2
28,3,3,3,3,3,3,3,3,3,3
29,2,3,3,3,3,3,3,3,3,3
30,1,1,1,1,1,1,1,1,1,1
31,2,1,1,2,2,2,2,2,1,1
33,0,0,0,0,0,0,0,0,0,0
34,1,1,1,1,1,1,1,1,1,1
35,2,2,2,2,2,2,2,2,2,2
36,2,2,2,2,2,2,2,2,2,2
37,7,6,5,5,5,6,6,6,6,6
38,1,1,1,1,1,1,1,1,1,1
39,2,2,2,2,2,2,2,2,2,2
40,4,3,3,4,4,4,4,4,4,4
41,2,2,2,2,2,2,2,2,2,2
42,4,3,3,3,3,3,3,3,3,3
43,5,5,5,4,4,4,4,4,4,4
44,2,2,2,2,2,2,2,2,2,2
45,2,2,2,2,2,2,2,2,2,2
46,2,2,3,3,3,3,3,3,3,3
47,1,1,1,1,1,1,1,1,1,1
48,0,0,0,0,0,0,0,0,0,0
49,0,0,1,1,1,1,0,0,0,1
50,6,3,3,3,4,4,4,4,4,4
53,3,3,3,3,3,3,3,3,3,3
54,2,2,1,1,1,1,1,1,1,1
55,2,2,2,2,2,2,2,2,2,2
57,4,4,4,4,4,4,4,4,4,4
58,3,3,3,3,3,3,3,3,3,3
59,1,1,1,1,1,1,1,1,1,1
