sottoarea,lat,lon,citta,provincia,regione,zona_italia,isola,abitanti,min_distanza,densita
1,37.57251433333334,14.20335411764705,Villarosa,EN,SIC,Sud,1,4937,50450,0
2,37.33710751515152,13.54329624242424,Agrigento,AG,SIC,Sud,1,59770,63978,0
3,45.331017128571396,8.264631871428566,Salasco,VC,PIE,Nord,0,222,39613,0
4,44.83720054450263,8.639266298429321,Bosco Marengo,AL,PIE,Nord,0,2457,35411,0
5,42.49907295757578,13.76170830909092,Arsita,TE,ABR,Sud,0,829,42687,0
6,42.0110725,13.463006357142858,Avezzano,AQ,ABR,Sud,0,42515,53974,0
7,42.31675165116281,14.21819360465116,Vacri,CH,ABR,Sud,0,1686,42687,0
8,41.817024176470625,14.442909542986442,Belmonte del Sannio,IS,MOL,Sud,0,768,58539,0
9,43.73349122826084,12.741713076086958,Urbino,PU,MAR,Centro,0,15019,40465,0
10,43.54901306249999,13.174615249999997,San Marcello,AN,MAR,Centro,0,2057,27912,0
11,45.51633745454546,7.586007710227278,Valprato Soana,TO,PIE,Nord,0,108,41012,0
12,45.18163758974357,7.806423794871796,Volpiano,TO,PIE,Nord,0,15416,15236,0
13,41.00475367391304,16.996119326086955,Rutigliano,BA,PUG,Sud,0,18662,29226,0
14,40.93301906666666,16.662051599999998,Grumo Appula,BA,PUG,Sud,0,12961,29226,0
15,40.41825783018868,16.48057739622641,Craco,MT,BAS,Sud,0,745,56760,0
16,40.48805088461535,17.276615692307686,Taranto,TA,PUG,Sud,0,201100,36560,0
17,40.15105659374998,15.911561515624998,Moliterno,PZ,BAS,Sud,0,4062,56760,0
18,40.34985576428571,15.250505985714293,Magliano Vetere,SA,CAM,Sud,0,695,35904,0
19,40.7242373797468,15.791302860759487,Potenza,PZ,BAS,Sud,0,67122,39131,0
20,40.66676790909091,15.334526909090908,San Gregorio Magno,SA,CAM,Sud,0,4286,35904,0
21,46.04522191758244,12.050274016483517,Mel,BL,VEN,Nord,0,5984,43266,0
22,45.81711033333332,9.61259948148148,Comunità Montana della Valle Brembana,BG,LOM,Nord,0,4397,21206,0
23,45.75019316216218,9.867977567567566,Gaverina Terme,BG,LOM,Nord,0,874,21206,0
24,44.41300321666666,11.381436266666665,Pianoro,BO,EMR,Centro,0,17460,636,1
25,44.412898850000026,11.373446462500004,Pianoro,BO,EMR,Centro,0,17460,636,1
26,46.11339137671234,11.09523313013699,Trento,TN,TAA,Nord,0,117317,65526,0
27,46.653002447204976,11.45089691304349,Villanders - Villandro,BZ,TAA,Nord,0,1854,65927,0
28,45.70454611278198,10.26234434586467,Comunità montana della valle Trompia,BS,LOM,Nord,0,1698,31115,0
29,45.23421061073825,10.575079771812089,Goito,MN,LOM,Nord,0,10364,41067,0
30,39.27515695535716,16.386525526785714,Aprigliano,CS,CAL,Sud,0,2890,29251,0
31,39.53816639766084,16.366389163742706,San Demetrio Corone,CS,CAL,Sud,0,3559,29251,0
32,38.843669857142864,16.307407357142853,Curinga,CZ,CAL,Sud,0,6779,20207,0
33,38.95201339393942,16.640021151515146,Simeri Crichi,CZ,CAL,Sud,0,4698,31260,0
34,38.663797085365864,16.271710939024395,San Nicola da Crissa,VV,CAL,Sud,0,1335,20207,0
35,38.22294601459858,15.987427627737224,Scido,RC,CAL,Sud,0,931,54870,0
36,40.882474894736845,14.108125105263154,Pozzuoli,NA,CAM,Sud,0,81661,10506,0
37,41.18018412149535,14.154335102803742,Pignataro Maggiore,CE,CAM,Sud,0,6084,33289,0
38,41.063207553571424,14.575168928571426,Airola,BN,CAM,Sud,0,8195,19477,0
39,41.06680970270271,14.828060013513513,Benevento,BN,CAM,Sud,0,60091,18908,0
40,40.93182484732826,14.965025320610696,San Mango sul Calore,AV,CAM,Sud,0,1185,18908,0
41,37.56527894999999,15.0828956,Sant'Agata li Battiati,CT,SIC,Sud,1,9479,5977,1
42,37.58012607228914,15.017858108433733,Belpasso,CT,SIC,Sud,1,28108,5977,1
43,45.59330124242423,9.038145484848483,Caronno Pertusella,VA,LOM,Nord,0,17525,9055,1
44,45.55204195652173,8.938110956521738,Parabiago,MI,LOM,Nord,0,27692,9055,1
45,46.052279918032795,9.49078510655738,Premana,LC,LOM,Nord,0,2281,27793,0
46,45.761975730158724,9.153925126984124,Cantù,CO,LOM,Nord,0,39930,11863,0
47,44.55935862841533,7.823977972677599,Bene Vagienna,CN,PIE,Nord,0,3671,35289,0
48,44.394367355932204,7.444985474576269,Bernezzo,CN,PIE,Nord,0,4104,35289,0
49,44.89743840186915,8.199256214953277,Asti,AT,PIE,Nord,0,76202,35411,0
50,44.59497577011497,11.91913661494253,Argenta,FE,EMR,Centro,0,21851,47300,0
52,41.55185859459458,15.509951594594593,Foggia,FG,PUG,Sud,0,151991,78501,0
53,41.20635307692307,16.39459942307692,Corato,BA,PUG,Sud,0,48312,37771,0
54,42.032671238095226,12.444501476190474,Roma,RM,LAZ,Centro,0,2864731,11242,0
55,42.22671992982459,12.87787923391814,Monteleone Sabino,RI,LAZ,Centro,0,1224,39526,0
56,42.13321555555555,12.405970222222221,Campagnano di Roma,RM,LAZ,Centro,0,11571,11614,0
57,42.36844414379087,12.095775555555562,Viterbo,VT,LAZ,Centro,0,67173,36578,0
58,41.525132372549024,13.468052460784321,Castro dei Volsci,FR,LAZ,Centro,0,4781,47100,0
59,41.49052331249999,12.9057595625,Latina,LT,LAZ,Centro,0,125985,25935,0
60,41.6953395263158,12.756361431578945,Velletri,RM,LAZ,Centro,0,53303,20959,0
61,44.31096960526322,9.529270730263159,Castiglione Chiavarese,GE,LIG,Nord,0,1616,52486,0
62,44.15224227906979,8.177597744186048,Toirano,SV,LIG,Nord,0,2644,53304,0
