codice_istat,indice_istruzione
98001,31.02
15002,40.75
87001,49.07
43001,36.54
55001,39.59
85001,28.22
72002,40.66
104001,38.33
104002,34.87
42001,45.71
78004,28.91
96001,25.75
25002,28.52
95003,26.25
13003,37.15
13004,35.91
78006,27.56
81001,37.02
6003,40.24
83002,29.64
2004,31.16
95005,22.08
1007,38.89
9005,31.44
78009,31.95
16008,37.6
30002,39.42
30003,30.68
79005,30.54
17005,21.8
65007,43.29
97003,33.79
66004,40.82
37001,37.06
8002,35.57
8003,25.32
84003,41.78
58008,38.78
15007,36.77
51002,46.4
4007,25.15
58009,48.74
7004,30.88
3008,42.32
25004,28.93
30006,38.81
16013,34.81
24010,29.93
92003,37.54
65011,47.59
91003,29.02
103005,21.11
66006,54.83
55033,36.53
16016,37.94
63006,39.05
29004,33.76
16018,32.23
28008,27.7
61006,37.55
1016,37.21
82007,29.24
103007,22.78
70002,35.34
48002,34.26
83005,44.96
34002,25.55
72006,46.75
66009,39.94
97007,35.16
22009,38.54
30009,34.72
28011,37.69
95013,24.48
79009,24.66
18013,35.52
67006,33.78
94004,25.36
101001,25.78
62008,53.54
34004,29.96
16024,53.68
98002,31.76
16025,23.18
11003,34.32
3018,32.9
35004,35.22
13023,32.35
17019,20.29
91009,31.98
16027,24.19
28012,32.0
3021,35.92
16028,24.0
21008,45.39
36002,37.69
23009,29.62
4023,27.66
19007,24.66
79011,40.51
16032,32.14
98005,33.56
20006,27.55
1031,30.85
17022,31.21
26004,34.81
95079,36.28
18020,31.93
16034,26.95
23012,29.04
58013,56.42
17026,24.05
16038,32.32
13029,34.85
24016,30.5
102003,37.44
3026,34.61
68004,22.82
83007,43.4
1038,40.6
5010,40.13
96007,29.4
104008,24.97
47003,36.53
78020,28.06
1042,45.66
1043,32.12
15041,34.9
5012,37.68
28016,40.82
65019,33.06
71008,25.41
64014,34.62
80016,33.87
50004,42.77
21015,32.94
24018,37.75
22035,44.37
84007,32.76
76015,29.45
55008,35.85
63012,34.98
5016,33.42
43007,55.14
65022,38.0
35009,33.95
48006,31.57
10008,36.9
84010,34.51
30016,47.45
62014,38.29
76017,32.39
36004,33.75
4037,30.32
28021,27.27
5017,31.52
89005,36.87
80020,23.29
66018,41.18
13041,37.62
65025,39.75
58018,47.81
61013,46.9
92011,44.59
58019,34.34
103018,27.03
6029,41.78
72014,39.09
68007,32.83
18030,37.01
76019,23.69
2029,27.69
2030,26.08
78025,39.28
30018,25.9
100002,34.66
16056,27.36
6033,38.44
35011,32.93
4043,31.45
6036,29.25
16057,29.7
69015,37.21
70012,30.12
23019,25.55
19020,30.59
3040,31.65
61020,30.41
12037,31.61
61021,46.94
10011,37.15
63021,33.45
98012,30.84
35013,35.23
12039,37.82
14013,22.37
72016,42.75
6044,32.25
23020,27.06
64022,40.45
42009,28.28
94009,38.41
51008,31.99
20015,26.86
51010,30.2
56017,38.35
20013,31.54
19023,32.53
64023,34.17
5025,35.63
72017,39.54
4048,35.19
96015,24.3
5027,20.42
60020,42.08
14014,20.54
37018,35.3
70015,21.27
93011,27.69
71017,33.41
58024,54.1
60021,37.72
90023,27.79
12045,39.75
19027,28.57
51012,38.45
37022,34.51
67013,28.63
67014,32.98
75096,35.02
84013,27.85
70016,33.99
65037,43.97
3045,27.84
13062,7.37
6055,30.74
98017,32.21
60024,39.96
82026,34.86
5033,29.68
5034,28.05
74004,31.51
4061,28.59
68011,41.13
70018,30.82
63026,40.37
1072,31.72
78037,48.06
97020,43.72
96018,28.92
23026,32.07
58028,42.19
30023,41.54
61029,34.55
26015,31.11
17050,30.71
7013,32.28
64027,44.98
90025,24.97
25012,28.77
71021,28.94
1080,33.01
8019,33.64
52011,39.79
1083,28.33
18050,31.38
82030,29.9
80027,34.41
1085,53.14
4070,28.79
54012,39.84
2043,28.05
56021,39.07
58033,42.33
4071,25.07
12053,32.0
26019,29.0
66038,42.89
52012,40.31
57020,34.78
66040,25.96
23027,33.02
58035,47.22
98020,33.37
3052,38.99
24033,24.08
1093,36.33
67020,32.41
6061,40.64
60030,47.6
75023,37.43
21023,25.17
30030,33.92
33017,25.25
33018,33.44
21026,32.56
8023,24.34
6062,33.88
8024,34.18
2048,28.29
16088,30.07
3055,34.22
73004,33.87
19038,28.04
6064,37.87
12059,26.48
42016,33.99
79039,39.41
13085,20.3
75026,33.72
16091,35.65
92016,22.92
85006,35.2
