sottoarea,abitanti,min_distanza,densita,prodotto,data,giorno_della_settimana,giorno_del_mese,giorno_dell_anno,settimana_dell_anno,mese,anno,festivo,vendite
89,974074,2069,3,1,2014-01-01,3,1,1,1,1,2014,1,0
89,974074,2069,3,1,2014-01-02,4,2,2,1,1,2014,0,1
89,974074,2069,3,1,2014-01-03,5,3,3,1,1,2014,0,1
89,974074,2069,3,1,2014-01-04,6,4,4,1,1,2014,1,1
89,974074,2069,3,1,2014-01-05,7,5,5,2,1,2014,1,0
89,974074,2069,3,1,2014-01-06,1,6,6,2,1,2014,1,0
89,974074,2069,3,1,2014-01-07,2,7,7,2,1,2014,0,1
89,974074,2069,3,1,2014-01-08,3,8,8,2,1,2014,0,4
89,974074,2069,3,1,2014-01-09,4,9,9,2,1,2014,0,3
89,974074,2069,3,1,2014-01-10,5,10,10,2,1,2014,0,3
89,974074,2069,3,1,2014-01-11,6,11,11,2,1,2014,1,1
89,974074,2069,3,1,2014-01-12,7,12,12,3,1,2014,1,1
89,974074,2069,3,1,2014-01-13,1,13,13,3,1,2014,0,2
89,974074,2069,3,1,2014-01-14,2,14,14,3,1,2014,0,3
89,974074,2069,3,1,2014-01-15,3,15,15,3,1,2014,0,4
89,974074,2069,3,1,2014-01-16,4,16,16,3,1,2014,0,4
89,974074,2069,3,1,2014-01-17,5,17,17,3,1,2014,0,4
89,974074,2069,3,1,2014-01-18,6,18,18,3,1,2014,1,1
89,974074,2069,3,1,2014-01-19,7,19,19,4,1,2014,1,1
89,974074,2069,3,1,2014-01-20,1,20,20,4,1,2014,0,2
89,974074,2069,3,1,2014-01-21,2,21,21,4,1,2014,0,5
89,974074,2069,3,1,2014-01-22,3,22,22,4,1,2014,0,3
89,974074,2069,3,1,2014-01-23,4,23,23,4,1,2014,0,3
89,974074,2069,3,1,2014-01-24,5,24,24,4,1,2014,0,2
89,974074,2069,3,1,2014-01-25,6,25,25,4,1,2014,1,1
89,974074,2069,3,1,2014-01-26,7,26,26,5,1,2014,1,0
89,974074,2069,3,1,2014-01-27,1,27,27,5,1,2014,0,2
89,974074,2069,3,1,2014-01-28,2,28,28,5,1,2014,0,3
89,974074,2069,3,1,2014-01-29,3,29,29,5,1,2014,0,2
89,974074,2069,3,1,2014-01-30,4,30,30,5,1,2014,0,4
89,974074,2069,3,1,2014-01-31,5,31,31,5,1,2014,0,3
89,974074,2069,3,1,2014-02-01,6,1,32,5,2,2014,1,1
89,974074,2069,3,1,2014-02-02,7,2,33,6,2,2014,1,0
89,974074,2069,3,1,2014-02-03,1,3,34,6,2,2014,0,2
89,974074,2069,3,1,2014-02-04,2,4,35,6,2,2014,0,3
89,974074,2069,3,1,2014-02-05,3,5,36,6,2,2014,0,2
89,974074,2069,3,1,2014-02-06,4,6,37,6,2,2014,0,4
